"X","x","lon","lat"
1,"Bothell, WA",NA,NA
2,"Durham, NC",-78.898619,35.9940329
3,"Huntington Beach, CA",-117.9988026,33.6594835
4,"SAN DIEGO",-117.1610838,32.715738
5,"Bilthoven and Rotterdam",NA,NA
6,"Texas",-99.9018131,31.9685988
7,"Ho Chi Minh, Vietnam",106.6296638,10.8230989
8,"United States",-95.712891,37.09024
9,"BowlingGreen Ky.",NA,NA
10,"Syracuse, NY",-76.1474244,43.0481221
11,"#IDPRN",NA,NA
12,"Philadelphia, PA",-75.1652215,39.9525839
13,"Florida, USA",-81.5157535,27.6648274
14,"Traverse City, MI",-85.6206317,44.7630567
15,"Minot, ND",-101.2922906,48.2329668
16,"Subscribe here ‚§µ‚§µ",NA,NA
17,"Texas, USA",-99.9018131,31.9685988
18,"Hawthorne,FL",-82.0873181,29.5919136
19,"Port St Lucie, FL",-80.3582261,27.2730492
20,"chicago area",-87.6297982,41.8781136
21,"New York",-74.0059728,40.7127753
22,"Reno, NV",-119.8138027,39.5296329
23,"Blue Springs, MO",-94.2816148,39.0169509
24,"The Sanctuary",NA,NA
25,"Louisville, KY",-85.7584557,38.2526647
26,"San Francisco, CA",-122.4194155,37.7749295
27,"Edmonton, Alberta, Canada",-113.4909267,53.544389
28,"United States",-95.712891,37.09024
29,"TexUS  BigTEX TEXASConnectsUS",NA,NA
30,"London",-0.1277583,51.5073509
31,"Corvallis, OR",NA,NA
32,"NSW South Coast",149.6564494,-36.6806101
33,"Texas, USA",-99.9018131,31.9685988
34,"ciudad de mexico",-99.133208,19.4326077
35,"Kota Banda Aceh",NA,NA
36,"United States",-95.712891,37.09024
37,"Singapore",103.819836,1.352083
38,"London",-0.1277583,51.5073509
39,"Tennessee, USA",NA,NA
40,"St. Paul, Minnesota",-93.0899578,44.9537029
41,"Aihara, Kanagawa-ken, Japan",NA,NA
42,"Cheyenne, WY",-104.8202462,41.1399814
43,"Houston",-95.3698028,29.7604267
44,"Overland Park, KS",-94.6707917,38.9822282
45,"Unionville, Ontario",-79.3106862,43.8655329
46,"StateCollege and HoChiMinhCity",NA,NA
47,"United States",-95.712891,37.09024
48,"facebook.com/tradcatknights",NA,NA
49,"Mid Suffolk, England",NA,NA
50,"Somewhere over the rainbow Ì†ºÌºà",NA,NA
51,"user @normanikordei owns me.",NA,NA
52,"Denver, CO; Do and M, GER",NA,NA
53,"Erie, PA",-80.085059,42.1292241
54,"LA and New York City",-73.9992966,40.7453369
55,"Keck Medical Center of USC",-118.2013213,34.0616357
56,"South Dakota, USA",-99.9018131,43.9695148
57,"Pittsburgh, PA",-79.9958864,40.4406248
58,"Plantation, FL",NA,NA
59,"iPhone: 42.640038,9.018104",NA,NA
60,"Oklahoma, NC",-99.8412125,34.728002
61,"Yale University",NA,NA
62,"USA",-95.712891,37.09024
63,"United States",-95.712891,37.09024
64,"Minneapolis/St. Paul, MN",-93.2009998,44.9374831
65,"Davis, CA",-121.7405167,38.5449065
66,"London",-0.1277583,51.5073509
67,"Kalamazoo, MI",-85.5872286,42.2917069
68,"Boise, ID",-116.2146068,43.6187102
69,"2921 S. Meridian Rd, Meridian ID 83642",-116.3946062,43.5781541
70,"Maryland",-76.6412712,39.0457549
71,"New Jersey",-74.4056612,40.0583238
72,"DMV",-95.7099399,37.2248982
73,"""MAGA"" Ì†ºÌ∑∫Ì†ºÌ∑∏",-95.7099399,37.2248982
74,"Minneapolis/St. Paul, MN",-93.2009998,44.9374831
75,"Newark, New Jersey",-74.1723667,40.735657
76,"Australia",133.775136,-25.274398
77,"Phoenix, AZ",-112.0740373,33.4483771
78,"District of Columbia, USA",-77.0368707,38.9071923
79,"North Carolina, USA",-79.0192997,35.7595731
80,"Tatooine...",10.4508956,32.9210902
81,"Puerto Rico, USA",-66.590149,18.220833
82,"Missouri, USA",-91.8318334,37.9642529
83,"Gaithersburg, Maryland ",-77.2013705,39.1434406
84,"Wibbly Wobbly Timey Wimey",NA,NA
85,"United States",-95.712891,37.09024
86,"Lancaster County, PA",-76.1783739,40.0466571
87,"Breda, Netherlands",4.768323,51.5719149
88,"London",-0.1277583,51.5073509
89,"McAllen, TX",NA,NA
90,"Ohio",NA,NA
91,"A Coru√±a, Galicia, Spain",-8.4115401,43.3623436
92,"United States",-95.712891,37.09024
93,"Sioux City, IA",-96.4003069,42.4999942
94,"Jersey City, NJ",NA,NA
95,"Florida, USA",NA,NA
96,"Raleigh, NC",-78.6381787,35.7795897
97,"San Francisco, CA",-122.4194155,37.7749295
98,"JAPAN",138.252924,36.204824
99,"Massachusetts, USA",-71.3824374,42.4072107
100,"Baltimore, MD",NA,NA
101,"Metchosin BC",-123.53785,48.382005
102,"Washington, DC",-77.0368707,38.9071923
103,"Washington, DC",NA,NA
104,"Washington",-77.0368707,38.9071923
105,"Kentucky, USA",-84.2700179,37.8393332
106,"Lausanne, Switzerland",6.6322734,46.5196535
107,"Amstelveen",4.870087,52.3114207
108,"Halifax, Nova Scotia, Canada",NA,NA
109,"United States",-95.712891,37.09024
110,"STL-MHK",NA,NA
111,"Colorado",-105.7820674,39.5500507
112,"Berkeley, CA",-122.272747,37.8715926
113,"Santiago - Chile",-70.6692655,-33.4488897
114,"Houston, TX",-95.3698028,29.7604267
115,"Carpinteria, Ca",NA,NA
116,"Washington DC",-77.0368707,38.9071923
117,"Sonoma County, California",-122.9888319,38.5779555
118,"Washington ",-77.0368707,38.9071923
119,"Atlanta, GA",-84.3879824,33.7489954
120,"United States",-95.712891,37.09024
121,"Toronto, Ontario",NA,NA
122,"NEW YORK USA",NA,NA
123,"Valencia, Spain",-0.3762881,39.4699075
124,"Omaha, NE",-95.9979883,41.2523634
125,"Louisiana",-91.9623327,30.9842977
126,"Australia ",133.775136,-25.274398
127,"Texas",-99.9018131,31.9685988
128,"Monterey Bay, California",-121.947311,36.8007413
129,"Laboratory",NA,NA
130,"Chicago, IL",-87.6297982,41.8781136
131,"Orlando, Florida",-81.3792365,28.5383355
132,"Kentucky, USA",-84.2700179,37.8393332
133,"City of Fallen Angels, USA",NA,NA
134,"Utrecht, Nederland",5.1214201,52.0907374
135,"San Francisco",NA,NA
136," Anch., AK - PGH, PA - Nor CA",NA,NA
137,"Las Palmas de Gran Canaria, Espa√±a",-15.4362574,28.1235459
138,"Alabama, USA",-86.902298,32.3182314
139,"California, USA",-119.4179324,36.778261
140,"New York, USA",-74.0059728,40.7127753
141,"Gary, IN",-87.3464271,41.5933696
142,"Eastbourne, England",0.290472,50.768035
143,"Atlanta, GA",-84.3879824,33.7489954
144,"Ì†ΩÌ≤ØU.S.A.Ì†ΩÌ≤Ø",-84.3879824,33.7489954
145,"2725 86th Street ",-73.9813041,40.5947441
146,"Davidson, NC",-80.8486846,35.4993031
147,"Michigan, USA",-85.6023643,44.3148443
148,"Alice Springs, Northern Territory",NA,NA
149,"Kansas, USA",-98.4842465,39.011902
150,"Los Angeles, CA",-118.2436849,34.0522342
151,"Orlando, Florida ",-81.3792365,28.5383355
152,"Êó•Êú¨ Â§ßÈò™",135.5021651,34.6937378
153,"Bilbao",-2.9349852,43.2630126
154,"St Kitts",NA,NA
155,"Lake Havasu City, AZ",-114.3224548,34.483901
156,"Central Texas ‚ú≠ ",NA,NA
157,"Frederick, Maryland",-77.4105409,39.4142688
158,"Tennessee, USA",NA,NA
159,"Delfgauw, The Netherlands",4.3967708,52.0091941
160,"District of Columbia, USA",-77.0368707,38.9071923
161,"Washington, DC",-77.0368707,38.9071923
162,"Watertown, MN",-93.847189,44.9635738
163,"Edinburgh, Scotland",-3.188267,55.953252
164,"Michigan, USA",-85.6023643,44.3148443
165,"Mississippi, USA",NA,NA
166,"Kingman Arizona",-114.0530065,35.189443
167,"Ê°ÉÊ∫êÈÉ∑",139.70069,35.531097
168,"Scarborough, Ontario",-79.2317521,43.7764258
169,"Atlanta, GA",NA,NA
170,"Gorham Maine ",-70.4442252,43.6795314
171,"Miami FL ",-80.1917902,25.7616798
172,"Melbourne, Australia",144.9630576,-37.8136276
173,"Alexander, NY",-78.2566834,42.9011711
174,"Wien",16.3738189,48.2081743
175,"Taylors, SC",-82.2962268,34.9203946
176,"Hamilton, Ontario CANADA",-79.8711024,43.2557206
177,"England",-1.1743197,52.3555177
178,"So Flo",-82.53795,27.425129
179,"Atlanta, GA",-84.3879824,33.7489954
180,"Ohio, USA",-82.907123,40.4172871
181,"Munich, Germany",11.5819805,48.1351253
182,"Oro Valley, AZ",-110.966488,32.3909071
183,"Anchorage, Alaska",-149.9002778,61.2180556
184,"Port Angeles, WA",-123.4307413,48.118146
185,"United States",NA,NA
186,"Liberal Hell, Ca",NA,NA
187,"Westbury, NY",NA,NA
188,"Chile",NA,NA
189,"Jerusalem, Paris, Melbourne",NA,NA
190,"Lyon, France",4.835659,45.764043
191,"Texas",-99.9018131,31.9685988
192,"United States",-95.712891,37.09024
193,"Brussels, Belgium",NA,NA
194,"Oklahoma, USA",-97.092877,35.0077519
195,"Davis, CA",-121.7405167,38.5449065
196,"Mexicali.",-115.4522623,32.6245389
197,"England, United Kingdom",-1.1743197,52.3555177
198,"Nevada USA",-116.419389,38.8026097
199,"Queens, NY",-73.7948516,40.7282239
200,"Ontario, Canada",-85.323214,51.253775
201,"Beef, USA",NA,NA
202,"Phoenix, AZ",-112.0740373,33.4483771
203,"North Carolina, USA",-79.0192997,35.7595731
204,"Beaconsfield - Quebec - Canada",-73.8682835,45.4309308
205,"Nottingham",-1.1581086,52.9547832
206,"Northampton, England",-0.902656,52.240477
207,"United States",-95.712891,37.09024
208,"North Kekistan",-3.4246644,55.9589866
209,"NW",-94.8825243,40.3519854
210,"Georgia, USA",-82.9000751,32.1656221
211,"Knoxville, TN",NA,NA
212,"Washington, DC",-77.0368707,38.9071923
213,"Where the boys aren‚Äôt",NA,NA
214,"Stockholm, Sweden",18.0685808,59.3293235
215,"London",NA,NA
216,"Sacramento",-121.4943996,38.5815719
217,"Sacramento, CA",-121.4943996,38.5815719
218,"Valencia",-0.3762881,39.4699075
219,"Newbury St, Lambourn RG178YR  ph. 01488 73755",NA,NA
220,"University of Guelph, Ontario",-80.2268613,43.5320995
221,"Riyadh, KSA, NGHA",46.8568513,24.7480292
222,"Perth Western Australia",115.8604572,-31.9505269
223,"Seattle, WA",-122.3320708,47.6062095
224,"Brighton, UK",-0.137163,50.82253
225,"NYC ‚û°Ô∏è Boston ‚û°Ô∏è Salem, MA",NA,NA
226,"Washington, DC",-77.0368707,38.9071923
227,"Washington, DC",-77.0368707,38.9071923
228,"Kingston, Jamaica",-76.8099041,18.0178743
229,"Norfolk/Suffolk",-76.2998208,36.8832807
230,"They call me Ì†ºÌºπ",-76.2998208,36.8832807
231,"Windsor, ON & Roseville, MI",-83.0363633,42.3149367
232,"Polk County, FL",-81.6911559,27.8617347
233,"District 13",NA,NA
234,"Caribbean",-78.6568942,21.4691137
235,"Indy ",-86.1584923,39.7645091
236,"Brussels",4.3517211,50.8503463
237,"Lehigh Valley, PA/NJ",-75.3704579,40.6259316
238,"Denver, CO",-104.990251,39.7392358
239,"San Diego, CA",-117.1610838,32.715738
240,"‚ö†Ô∏ètweet/RT heavy‚ö†Ô∏è",NA,NA
241,"they/them | 
‚ù§ charmerruby",NA,NA
242,"Caribbean CARIFORUM",NA,NA
243,"Italy",12.56738,41.87194
244,"Chapel Hill, NC",-79.0558445,35.9131996
245,"Texas, USA",-99.9018131,31.9685988
246,"Mississauga, ON    CANADA",-79.6441198,43.5890452
247,"New York, NY",-74.0059728,40.7127753
248,"Boston, MA",NA,NA
249,"Boston, MA",-71.0588801,42.3600825
250,"Big Sky",NA,NA
251,"Cape Town, South Africa",NA,NA
252,"Geneva, Switzerland",NA,NA
253,"United States",-95.712891,37.09024
254,"Boston, MA",-71.0588801,42.3600825
255,"im at where ur sister went",-81.1675409,35.2322636
256,"Cape Town, South Africa",18.4240553,-33.9248685
257,"NYC",-74.0059728,40.7127753
258,"Boise, ID",-116.2146068,43.6187102
259,"Ottawa, Ontario",-75.6971931,45.4215296
260,"(Guelph): Guest on the ancestral lands of the Attawandaron people and the Treaty lands and territory of the Mississaugas of the Credit.",NA,NA
261,"Richmond, VA",-77.4360481,37.5407246
262,"Northern Georgia",-84.264492,33.556215
263,"Tacoma, WA Area",-122.4457696,47.2563569
264,"Medford, MA",-71.1061639,42.4184296
265,"Colorado, USA",-105.7820674,39.5500507
266,"Minneapolis, Minnesota",-93.2650108,44.977753
267,"Guelph, Ontario",-80.2481666,43.5448048
268,"Denton, TX",-97.1330683,33.2148412
269,"Kingdom of Saudi Arabia",45.079162,23.885942
270,"Oporto, Portugal",-8.6291053,41.1579438
271,"Toronto",-79.3831843,43.653226
272,"Toronto, Ontario",-79.3831843,43.653226
273,"United Kingdom",-3.435973,55.378051
274,"Columbus, OH",-82.9987942,39.9611755
275,"Florida, USA",-81.5157535,27.6648274
276,"International Website",-118.1479208,34.1469288
277,"Scandinavia",12.3401709,62.2786475
278,"LABORATORY",-95.920306,36.0691792
279,"Kingdom of Saudi Arabia",45.079162,23.885942
280,"Scotland, United Kingdom",-4.2026458,56.4906712
281,"Rigshospitalet, Univ of Copenh",NA,NA
282,"Sterling, VA",-77.4291298,39.0066993
283,"Victoria, British Columbia",-123.3656444,48.4284207
284,"Africa",34.508523,-8.783195
285,"Deutschland",10.451526,51.165691
286,"Holloway, North London",-0.117689,51.5565484
287,"Nijmegen, Nederland",NA,NA
288,"Dingwall",-4.428411,57.595347
289,"Rome, Italy",12.4963655,41.9027835
290,"Armagh, Northern Ireland",-6.652792,54.3502798
291,"Roseville, CA",-121.2880059,38.7521235
292,"UK",-3.435973,55.378051
293,"United Kingdom",-3.435973,55.378051
294,"Kilkenny, Ireland",-7.2447879,52.6541454
295,"Regina, Saskatchewan, Canada",-104.6188943,50.4452112
296,"Bay Area, CA",-122.2913078,37.8271784
297,"Arlington, VA",-77.0909809,38.8816208
298,"Cape Town, South Africa",18.4240553,-33.9248685
299,"Spokane, Washington",-117.4260465,47.6587802
300,"Amsterdam, Netherlands",4.8951679,52.3702157
301,"Greece",21.824312,39.074208
302,"Boston, MA",-71.0588801,42.3600825
303,"St Albans",-77.0718248,38.9284816
304,"Jeddah / London",39.1507348,21.6703758
305,"California",NA,NA
306,"Crediton, Devon ",NA,NA
307,"New Jersey, USA",-74.4056612,40.0583238
308,"Washington, D.C., U.S.A.",-77.0368707,38.9071923
309,"Notre Dame, IN",-86.2353388,41.7055716
310,"Buenos Aires, Argentina",-58.3815591,-34.6036844
311,"Washington, DC",-77.0368707,38.9071923
312,"mod: @capcomgoth",NA,NA
313,"Trinidad & Tobago",NA,NA
314,"Skopje",21.4279956,41.9973462
315,"Hamburg",9.9936819,53.5510846
316,"LaCanada & NH",-118.2000277,34.2068182
317,"San Ramon, CA",-121.9780153,37.7799273
318,"ƒ∞zmir, T√ºrkiye",NA,NA
319,"Los Angeles, CA",-118.2436849,34.0522342
320,"NJ/NYC ",-74.0059728,40.7127753
321,"Central Alberta",-113.81064,52.2693195
322,"107-100 Stone Road W, Guelph",-80.2269902,43.524189
323,"Lehigh Valley, NJ/PA",-75.4142592,40.6314858
324,"London",NA,NA
325,"Ahmedabad, India",72.5713621,23.022505
326,"NW England",-71.8740408,42.5588467
327,"Sweden",18.643501,60.128161
328,"Cambridge, UK",0.121817,52.205337
329,"North Carolina",NA,NA
330,"Georgia, USA",NA,NA
331,"Abu Dhabi",54.3773438,24.453884
332,"Toronto, Ontario",-79.3831843,43.653226
333,"Oxnard, CA",-119.1770516,34.1975048
334,"UK & Wales",-3.435973,55.378051
335,"New York City (et Montr√©al)",NA,NA
336,"In the gym ",79.9438624,12.9667498
337,"√úT: 37.318707,-121.940244",-109.9923906,40.3019071
338,"Boston, MA",-71.0588801,42.3600825
339,"Arlington, VA",-77.0909809,38.8816208
340,"London",-0.1277583,51.5073509
341,"Mumbai",72.8776559,19.0759837
342,"Nottingham, UK",-1.1581086,52.9547832
343,"Sleaford",-0.40965,53.0003079
344,"Oakland, California",-122.2711137,37.8043637
345,"Fortitudine Vincit",NA,NA
346,"Santiago, Chile",-70.6692655,-33.4488897
347,"Switzerland",8.227512,46.818188
348,"Ottawa, ON",-75.6971931,45.4215296
349,"Madrid",-3.7037902,40.4167754
350,"Hollywood",-118.3286614,34.0928092
351,"ripley | 19 | az | sagittarius",-88.9502156,34.7398322
352,"South Africa",NA,NA
353,"An alternate cyberdimension",NA,NA
354,"South Florida",NA,NA
355,"#DV #CSA  #Daniel_Morgan",NA,NA
356,"USA",-95.712891,37.09024
357,"California, USA",NA,NA
358,"Canada",-106.346771,56.130366
359,"Boston, MA",NA,NA
360,"Ile-de-France, France",2.6370411,48.8499198
361,"Madrid",-3.7037902,40.4167754
362,"Bordeaux - Paris",-0.419084,44.760362
363,"New York, USA",NA,NA
364,"Argentina",-63.616672,-38.416097
365,"Los Angeles, California",-118.2436849,34.0522342
366,"#yyc and area",NA,NA
367,"Sarasota, Florida",-82.5306527,27.3364347
368,"Oblivion and beyond ‚Üñ‚ô±",NA,NA
369,"Chicago, IL",-87.6297982,41.8781136
370,"International",-95.857444,36.118537
371,"Old Bridge, NJ",-74.307282,40.4128551
372,"Pune, India",73.8567437,18.5204303
373,"York, England",-1.0872979,53.9599651
374,"Atlanta, GA",-84.3879824,33.7489954
375,"New York",-74.0059728,40.7127753
376,"California, USA",-119.4179324,36.778261
377,"mi cant√≥n",NA,NA
378,"Washington DC",NA,NA
379,"Chapel Hill, NC",-79.0558445,35.9131996
380,"Niagara Falls, NY",-79.0377388,43.0962143
381,"Alberta",-116.5765035,53.9332706
382,"USA",-95.712891,37.09024
383,"Seattle, Washington",-122.3320708,47.6062095
384,"Gloucestershire and Mallorca",NA,NA
385,"Washington, D.C.",-77.0368707,38.9071923
386,"Scotland, United Kingdom",-4.2026458,56.4906712
387,"Global",-83.9811014,34.1140497
388,"Global",-83.9811014,34.1140497
389,"San Diego",NA,NA
390,"California (o/18 :-)",-117.2942775,34.2327151
391,"Mesa, AZ",-111.8314724,33.4151843
392,"Edmonton, Alberta, Canada",NA,NA
393,"England, United Kingdom",-1.1743197,52.3555177
394,"CANADA, Grande Prairie ",-118.7986152,55.1699396
395,"Alberta",-116.5765035,53.9332706
396,"Twin Cities",-93.2009998,44.9374831
397,"St. George",NA,NA
398,"North Carolina",-79.0192997,35.7595731
399,"Rotterdam, The Netherlands",4.4777326,51.9244201
400,"Spec. Love of Mtl, TO & Vancou",NA,NA
401,"Toronto, Ontario",-79.3831843,43.653226
402,"University of Guelph",NA,NA
403,"Community Veterinary Clinics",-87.909007,42.9898263
404,"Bracebridge Muskoka ",NA,NA
405,"South Africa",22.937506,-30.559482
406,"Suffolk",-76.5835621,36.7282054
407,"Guelph, Ontario, Canada",-80.2481666,43.5448048
408,"Bury St Edmunds, Suffolk, UK",0.7104932,52.2429228
409,"Chapel Hill, NC",-79.0558445,35.9131996
410,"London, England",-0.1277583,51.5073509
411,"Lambourn, Berkshire",-1.531531,51.507954
412,"Germany",10.451526,51.165691
413,"Denver, CO",-104.990251,39.7392358
414,"Kenosha, Wi",-87.8211854,42.5847425
415,"Illinois, USA",-89.3985283,40.6331249
416,"Connecticut",-73.087749,41.6032207
417,"Newmarket, Suffolk, UK",NA,NA
418,"Elk Grove Village, IL",-87.9703461,42.0039178
419,"Guelph, Ontario, Canada",NA,NA
420,"Guelph",-80.2481666,43.5448048
421,"Leiden, The Netherlands",4.4970097,52.1601144
422,"New York, NY",-74.0059728,40.7127753
423,"Guelph, Ontario, Canada",-80.2481666,43.5448048
424,"SoCal‚òÄ",NA,NA
